"","x"
"1",95.62813
"2",96.11231
"3",97.27621
"4",100.19148
"5",100.19148
"6",100.19148
"7",100.40274
"8",100.49653
"9",100.49653
"10",100.51825
"11",100.9674
"12",101.2142
"13",102.68647
"14",105.13012
"15",105.72349
"16",112.90736
"17",113.66527
"18",114.05098
"19",114.26508
"20",114.37092
"21",116.6566
"22",118.5116
"23",118.98538
"24",119.09589
"25",122.19937
"26",122.89178
"27",122.97575
"28",122.99154
"29",123.00733
"30",123.16507
"31",123.46913
"32",124.1004
"33",127.30465
"34",128.00608
"35",130.33144
"36",130.73447
"37",130.74819
"38",132.04537
"39",133.07518
"40",134.20836
"41",134.72048
"42",138.08529
"43",139.54666
"44",140.53997
"45",140.53997
"46",141.01491
"47",141.01491
"48",141.01491
"49",141.55572
"50",142.22237
"51",143.51183
"52",145.65893
"53",145.9714
"54",147.03924
"55",147.04706
"56",147.21794
"57",147.38881
"58",148.89694
"59",149.36577
"60",149.54359
"61",149.98773
"62",150.06833
"63",152.1787
"64",154.71856
"65",155.56571
"66",156.19982
"67",156.34211
"68",157.89391
"69",158.67398
"70",159.62419
"71",161.9499
"72",164.44569
"73",164.59313
"74",164.80858
"75",164.88007
"76",164.88007
"77",164.88007
"78",164.88007
"79",164.88007
"80",165.05204
"81",165.22052
"82",166.43455
"83",167.20718
"84",173.34786
"85",176.12746
"86",178.40154
"87",181.16988
"88",181.16988
"89",183.49749
"90",188.25889
"91",189.64582
"92",192.97151
"93",193.14926
"94",198.18806
"95",198.7329
"96",198.96152
"97",201.88448
"98",202.43689
"99",206.7303
"100",207.0888
"101",210.6549
"102",211.55425
"103",214.51591
"104",214.51591
"105",214.51591
"106",214.52538
"107",215.98831
"108",217.61791
"109",219.13155
"110",219.1902
"111",223.80661
"112",228.6364
"113",228.79788
"114",228.99332
"115",230.02837
"116",232.38098
"117",233.07058
"118",233.09925
"119",233.14216
"120",233.15638
"121",233.15638
"122",233.30313
"123",233.30313
"124",233.30313
"125",233.44989
"126",233.44989
"127",233.44989
"128",233.64871
"129",233.91836
"130",234.0713
"131",234.0713
"132",234.29896
"133",235.00056
"134",238.58245
"135",238.58534
"136",244.01914
"137",245.57098
"138",247.49362
"139",247.82895
"140",247.90631
"141",251.49486
"142",253.29205
"143",253.35675
"144",254.89694
"145",257.4858
"146",261.08939
"147",261.1108
"148",271.95323
"149",275.12816
"150",276.60872
"151",276.60872
"152",280.43446
"153",281.98719
"154",285.27046
"155",285.27046
"156",285.27046
"157",285.27046
"158",285.27046
"159",285.27046
"160",288.19469
"161",290.28568
"162",292.88069
"163",295.56129
"164",299.11064
"165",299.11064
"166",299.82336
"167",309.93341
"168",312.28407
"169",319.7185
"170",322.3272
"171",326.35746
"172",329.35934
"173",329.35934
"174",331.62135
"175",331.68829
"176",331.69886
"177",331.69886
"178",335.68722
"179",335.79542
"180",339.93445
"181",340.21074
"182",341.75564
"183",342.56164
"184",342.66733
"185",342.66733
"186",342.66733
"187",342.77302
"188",342.90844
"189",344.87668
"190",348.37581
"191",351.59654
"192",351.7869
"193",357.30456
"194",361.86871
"195",363.50974
"196",363.50974
"197",370.49474
"198",370.4962
"199",375.87101
"200",383.86668
"201",386.02529
"202",386.40776
"203",390.76449
"204",391.53986
"205",391.53986
"206",391.53986
"207",391.53986
"208",391.62023
"209",396.27238
"210",396.8861
"211",398.43843
"212",398.92976
"213",402.48841
"214",404.63703
"215",406.98735
"216",409.29262
"217",412.55491
"218",414.72475
"219",415.50019
"220",415.50289
"221",415.50289
"222",415.50289
"223",418.63392
"224",418.94947
"225",420.24729
"226",420.55974
"227",420.55974
"228",420.94796
"229",425.67873
"230",429.81329
"231",434.77588
"232",434.89896
"233",434.92034
"234",434.92034
"235",438.71556
"236",438.80086
"237",439.68985
"238",448.11209
"239",455.10199
"240",463.69832
"241",469.86993
"242",469.9056
"243",469.9056
"244",472.23284
"245",472.23284
"246",472.23284
"247",472.23284
"248",476.06097
"249",479.16608
"250",481.40047
"251",482.27155
"252",482.27155
"253",486.13077
"254",492.07026
"255",493.16352
"256",497.84664
"257",503.28344
"258",505.34629
"259",505.54694
"260",505.54694
"261",505.54694
"262",517.83782
"263",524.25118
"264",534.91499
"265",535.02314
"266",535.02314
"267",535.02314
"268",544.30515
"269",544.64923
"270",544.65024
"271",547.40904
"272",549.01036
"273",549.32504
"274",550.51294
"275",551.68538
"276",555.073
"277",557.86884
"278",561.47063
"279",561.47063
"280",561.47063
"281",567.5851
"282",568.30579
"283",573.94817
"284",580.05062
"285",583.46767
"286",583.82614
"287",583.82614
"288",583.88313
"289",585.43534
"290",585.44977
"291",585.52184
"292",585.52184
"293",589.87502
"294",592.58001
"295",592.97711
"296",593.1393
"297",600.93775
"298",607.16289
"299",607.16725
"300",607.24801
"301",607.24801
"302",607.24801
"303",614.26989
"304",618.03379
"305",625.96109
"306",627.34821
"307",627.35178
"308",627.35536
"309",629.16921
"310",643.68342
"311",645.96868
"312",645.99645
"313",646.01533
"314",646.07696
"315",647.53003
"316",658.54375
"317",658.54375
"318",662.10129
"319",662.10129
"320",662.34167
"321",663.16457
"322",663.16457
"323",664.15651
"324",664.60111
"325",666.93059
"326",670.19488
"327",671.20107
"328",677.11119
"329",678.66569
"330",678.66569
"331",680.28188
"332",681.31578
"333",684.83701
"334",685.87619
"335",693.43146
"336",705.10916
"337",707.36022
"338",707.37116
"339",708.98253
"340",708.98253
"341",708.9925
"342",711.31716
"343",712.089
"344",712.73712
"345",716.22826
"346",716.75204
"347",720.25647
"348",725.15476
"349",730.58747
"350",731.57602
"351",732.27715
"352",735.38024
"353",737.55948
"354",739.19076
"355",741.57637
"356",743.91961
"357",744.16674
"358",746.24039
"359",755.1716
"360",755.48823
"361",758.593
"362",759.03349
"363",759.03349
"364",759.14601
"365",759.14601
"366",759.14601
"367",759.44677
"368",762.52354
"369",762.53677
"370",774.17868
"371",777.93316
"372",793.44907
"373",795.61688
"374",796.73138
"375",798.1056
"376",801.82779
"377",802.10786
"378",802.60427
"379",809.30383
"380",814.39828
"381",814.58639
"382",814.78406
"383",818.68357
"384",820.29437
"385",822.23468
"386",822.31211
"387",822.31211
"388",822.34835
"389",828.44335
"390",828.44335
"391",832.78497
"392",833.09984
"393",835.42758
"394",835.42758
"395",835.65255
"396",835.86581
"397",838.68493
"398",839.76297
"399",840.7744
"400",840.7744
"401",847.90527
"402",848.53066
"403",849.3973
"404",849.3973
"405",854.58746
"406",864.04149
"407",864.14203
"408",864.25334
"409",864.29931
"410",866.14939
"411",867.34879
"412",869.61035
"413",878.08153
"414",886.8408
"415",889.08632
"416",893.66431
"417",895.52968
"418",900.759
"419",900.759
"420",900.80505
"421",901.25827
