"","x"
"1",96.5342
"2",96.69285
"3",98.33281
"4",100.52775
"5",100.54745
"6",100.54745
"7",100.66217
"8",101.18571
"9",101.18571
"10",101.32182
"11",101.32182
"12",101.53329
"13",102.74551
"14",105.83716
"15",106.13079
"16",113.31199
"17",113.94214
"18",114.25291
"19",114.49504
"20",115.01835
"21",116.02745
"22",119.12733
"23",119.84633
"24",120.45672
"25",122.33287
"26",123.14171
"27",123.39336
"28",123.5385
"29",123.5385
"30",123.68402
"31",123.80942
"32",124.65584
"33",127.81341
"34",127.98196
"35",130.52781
"36",130.78252
"37",131.2932
"38",131.31336
"39",133.47455
"40",134.88094
"41",135.0255
"42",138.12789
"43",140.7127
"44",140.72281
"45",140.7262
"46",140.96912
"47",141.38496
"48",141.38496
"49",141.39508
"50",142.70292
"51",143.93946
"52",146.03786
"53",146.26454
"54",147.28847
"55",147.28847
"56",147.43359
"57",147.58883
"58",149.49575
"59",149.61539
"60",150.02567
"61",150.13887
"62",150.53551
"63",152.86196
"64",156.21829
"65",156.90493
"66",157.11275
"67",157.68094
"68",157.89876
"69",159.60929
"70",160.00697
"71",161.78042
"72",164.86168
"73",165.14423
"74",165.15355
"75",165.41474
"76",165.41474
"77",165.41474
"78",165.41474
"79",165.42542
"80",165.42542
"81",165.4361
"82",167.46879
"83",167.85738
"84",174.18723
"85",175.70314
"86",179.39555
"87",182.19033
"88",182.19033
"89",184.02811
"90",188.87948
"91",190.2321
"92",193.4423
"93",193.53389
"94",198.33156
"95",200.04569
"96",200.50852
"97",202.66099
"98",202.85331
"99",207.39888
"100",207.92708
"101",212.13076
"102",212.82174
"103",215.5378
"104",215.5378
"105",215.5378
"106",215.84515
"107",216.00647
"108",219.02634
"109",219.26387
"110",219.7222
"111",223.60024
"112",229.01743
"113",229.34387
"114",229.34387
"115",231.34443
"116",232.98189
"117",233.05742
"118",233.22006
"119",233.75434
"120",233.8263
"121",233.8263
"122",233.8264
"123",233.82963
"124",233.82963
"125",233.82973
"126",233.82973
"127",233.83296
"128",233.9959
"129",234.15884
"130",235.22195
"131",235.22195
"132",235.68116
"133",236.54056
"134",238.81261
"135",239.56551
"136",244.66958
"137",246.21476
"138",248.39462
"139",249.19268
"140",249.2523
"141",252.29475
"142",253.83478
"143",255.0636
"144",256.22654
"145",258.02333
"146",261.59006
"147",261.72658
"148",273.2755
"149",276.42675
"150",277.91365
"151",277.96224
"152",280.32516
"153",283.34937
"154",285.72125
"155",285.72125
"156",285.72125
"157",285.72125
"158",285.72125
"159",285.72125
"160",288.72372
"161",290.38643
"162",294.21683
"163",295.64072
"164",299.58142
"165",299.58142
"166",300.09435
"167",310.8575
"168",312.78719
"169",320.54375
"170",322.39508
"171",327.12988
"172",329.82853
"173",329.83201
"174",332.02779
"175",332.94131
"176",332.95037
"177",332.95037
"178",336.04269
"179",336.47058
"180",340.69587
"181",341.07714
"182",342.62684
"183",343.01252
"184",343.05344
"185",343.05344
"186",343.05344
"187",343.07549
"188",343.09669
"189",345.31938
"190",348.5432
"191",351.54418
"192",353.14777
"193",359.25622
"194",362.77318
"195",364.67537
"196",364.71093
"197",372.41791
"198",373.29327
"199",375.87066
"200",384.14178
"201",386.44507
"202",388.8433
"203",391.16896
"204",391.89006
"205",391.89006
"206",391.89006
"207",391.89006
"208",391.91684
"209",396.54112
"210",398.09446
"211",398.8695
"212",399.63812
"213",403.45747
"214",405.60378
"215",407.39514
"216",409.24002
"217",413.24039
"218",414.63987
"219",417.02156
"220",417.02156
"221",417.02156
"222",417.02156
"223",419.03807
"224",419.07287
"225",420.57971
"226",420.9516
"227",421.33301
"228",421.7367
"229",426.00878
"230",431.81399
"231",434.56179
"232",434.85914
"233",435.11612
"234",435.14407
"235",439.15495
"236",439.19345
"237",439.94488
"238",449.22766
"239",455.44961
"240",464.01154
"241",470.06718
"242",470.14974
"243",470.17979
"244",472.50554
"245",472.50554
"246",472.50554
"247",472.50554
"248",477.07583
"249",481.03263
"250",483.14487
"251",483.74484
"252",484.132
"253",487.14891
"254",492.62171
"255",494.50954
"256",499.62946
"257",504.96967
"258",505.35714
"259",505.35714
"260",505.35714
"261",505.35714
"262",518.91837
"263",524.39175
"264",534.80424
"265",534.80424
"266",534.80424
"267",534.80424
"268",544.67088
"269",544.93087
"270",544.93087
"271",548.06299
"272",548.96624
"273",549.29439
"274",552.3294
"275",552.39567
"276",555.45657
"277",557.07955
"278",561.65778
